Time	trailing_price	Low	Weighted_Price_Average	High	close_price	N_Transactions	Volume	Bid_Index	Ask_Index	EMA_12	EMA_26	EMA_DIF	MACD	EMA_Up	EMA_Down	RSI	TSI	EMA_Volume	OBV_Delta
1510047914	7201.64	7201.64	7204.96	7205.0	7205.0	33	1.64864457	6956.55	7434.48	7205.728249	7205.643307	2.752212	-2.66727	1.277311	1.33142	48.96	0.07	5.57784697	1.64864457
1510048034	7205.0	7205.0	7205.36	7206.0	7206.0	45	1.32149745	6955.99	7434.69	7205.671595	7205.622321	2.211624	-2.16235	1.257503	1.236319	50.42	0.08	4.92302397	1.32149745
1510048154	7206.0	7206.0	7206.95	7207.0	7206.99	54	9.01752305	6956.93	7435.23	7205.868273	7205.720668	1.79882	-1.651215	1.238396	1.148011	51.89	0.51	5.55294691	9.01752305
1510048274	7206.99	7206.99	7206.99	7207.0	7207.0	54	5.83597142	6956.23	7434.54	7206.040846	7205.814693	1.484287	-1.258134	1.150653	1.06601	51.91	0.87	5.59648914	5.83597142
1510048394	7207.0	7183.33	7199.61	7207.0	7183.33	175	26.14445441	6957.37	7434.17	7205.051485	7205.355086	1.126709	-1.43031	1.068464	2.680581	28.5	-8.64	8.75771457	-26.14445441
1510048514	7183.33	7175.94	7177.99	7183.33	7175.95	77	10.27553767	6943.85	7409.6	7200.88818	7203.328043	0.413395	-2.853258	0.992145	3.016254	24.75	-17.69	8.99122582	-10.27553767
1510048634	7175.95	7175.94	7175.94	7175.95	7175.95	39	6.25381148	6944.5	7408.49	7197.049998	7201.299299	-0.519144	-3.730157	0.921278	2.800807	24.75	-24.06	8.57008515	0.0
1510048754	7175.95	7175.94	7175.94	7175.95	7175.95	31	2.60214636	6944.39	7408.27	7193.802306	7199.420832	-1.53902	-4.079506	0.855472	2.600749	24.75	-28.78	7.65194072	0.0
1510048874	7175.95	7175.94	7175.95	7175.95	7175.95	27	1.58344103	6944.25	7408.63	7191.055797	7197.682252	-2.556507	-4.069948	0.794367	2.414981	24.75	-32.4	6.71832538	0.0
1510048994	7175.95	7175.94	7175.94	7175.95	7175.95	49	12.27136946	6944.3	7408.35	7188.73029	7196.071715	-3.513491	-3.827934	0.737627	2.242482	24.75	-35.26	7.57263985	0.0
1510049114	7175.95	7175.94	7175.94	7175.95	7175.95	57	12.96829661	6943.53	7408.71	7186.762553	7194.580477	-4.374378	-3.443546	0.684939	2.082305	24.75	-37.58	8.40274089	0.0
1510049234	7175.95	7175.94	7175.94	7175.95	7175.94	47	3.12478778	6944.28	7408.61	7185.097545	7193.199701	-5.119934	-2.982222	0.636015	1.934283	24.74	-39.49	7.5907481	-3.12478778
1510049354	7175.94	7175.94	7175.95	7175.95	7175.95	61	2.72230449	6943.63	7407.65	7183.69023	7191.921945	-5.74229	-2.489425	0.5913	1.79612	24.77	-41.08	6.84175678	2.72230449
1510049474	7175.95	7175.94	7175.95	7175.95	7175.95	31	3.5915913	6943.15	7408.33	7182.499425	7190.738838	-6.241715	-1.997698	0.549064	1.667826	24.77	-42.42	6.34173132	0.0
1510049594	7175.95	7175.5	7175.95	7177.71	7176.21	106	13.09860395	6943.2	7408.96	7181.491821	7189.643369	-6.623682	-1.527866	0.528417	1.548696	25.44	-43.41	7.38125019	13.09860395
1510049714	7176.21	7176.19	7176.2	7176.21	7176.2	57	5.54463252	6943.51	7408.95	7180.677695	7188.647564	-6.892919	-1.07695	0.490673	1.438789	25.43	-44.27	7.09869363	-5.54463252
1510049834	7176.2	7176.19	7176.2	7176.2	7176.2	42	2.52217322	6943.82	7409.72	7179.988819	7187.725522	-7.061676	-0.675027	0.455625	1.336018	25.43	-45.01	6.39461357	0.0
1510049954	7176.2	7176.19	7176.19	7176.2	7176.2	48	6.80966993	6943.46	7410.12	7179.404385	7186.871039	-7.142672	-0.323982	0.42308	1.240588	25.43	-45.66	6.45846839	0.0
1510050074	7176.2	7176.19	7176.19	7176.2	7176.2	37	4.82003912	6943.34	7410.07	7178.909864	7186.079851	-7.148135	-0.021852	0.39286	1.151975	25.43	-46.23	6.20640235	0.0
1510050194	7176.2	7176.19	7176.19	7176.2	7176.2	57	6.42581336	6944.03	7408.76	7178.491423	7185.347269	-7.089677	0.233831	0.364799	1.069691	25.43	-46.74	6.24015789	0.0
1510050314	7176.2	7176.19	7176.2	7176.2	7176.2	32	3.17431207	6942.41	7410.51	7178.138896	7184.669694	-6.977901	0.447103	0.338742	0.993285	25.43	-47.18	5.7684893	0.0
1510050434	7176.2	7176.2	7176.2	7176.2	7176.2	25	1.5733397	6942.61	7410.38	7177.840604	7184.042309	-6.822662	0.620957	0.314546	0.922336	25.43	-47.58	5.12308167	0.0
